id,fdc_id,nutrient_id,amount,data_points,derivation_id,min,max,median,loq,footnote,min_year_acquired,name,unit_name
0,1106109,1093,0.0,,75.0,,,,,,,"Sodium, Na",MG
1,1106320,1093,714.0,,70.0,,,,,,,"Sodium, Na",MG
2,1106377,1093,0.0,,75.0,,,,,,,"Sodium, Na",MG
3,1106493,1093,0.0,,75.0,,,,,,,"Sodium, Na",MG
4,1106757,1093,466.0,,70.0,,,,,,,"Sodium, Na",MG
5,1106766,1093,768.0,,70.0,,,,,,,"Sodium, Na",MG
6,1107688,1093,426.0,,70.0,,,,,,,"Sodium, Na",MG
7,1108224,1093,667.0,,70.0,,,,,,,"Sodium, Na",MG
8,1108404,1093,3.0,,70.0,,,,,,,"Sodium, Na",MG
9,1108446,1093,900.0,,70.0,,,,,,,"Sodium, Na",MG
10,1108715,1093,643.0,,70.0,,,,,,,"Sodium, Na",MG
11,1108795,1093,43.0,,70.0,,,,,,,"Sodium, Na",MG
12,1109053,1093,271.0,,70.0,,,,,,,"Sodium, Na",MG
13,1109080,1093,243.0,,70.0,,,,,,,"Sodium, Na",MG
14,1109145,1093,80.0,,70.0,,,,,,,"Sodium, Na",MG
15,1109313,1093,419.0,,70.0,,,,,,,"Sodium, Na",MG
16,1109799,1093,14.0,,70.0,,,,,,,"Sodium, Na",MG
17,1109835,1093,44.0,,70.0,,,,,,,"Sodium, Na",MG
18,1109864,1093,349.0,,70.0,,,,,,,"Sodium, Na",MG
19,1110045,1093,1000.0,,70.0,,,,,,,"Sodium, Na",MG
20,1110068,1093,188.0,,70.0,,,,,,,"Sodium, Na",MG
21,1110417,1093,21.0,,70.0,,,,,,,"Sodium, Na",MG
22,1110591,1093,2200.0,,70.0,,,,,,,"Sodium, Na",MG
23,1110677,1093,633.0,,70.0,,,,,,,"Sodium, Na",MG
24,1110797,1093,536.0,,70.0,,,,,,,"Sodium, Na",MG
25,1110931,1093,141.0,,70.0,,,,,,,"Sodium, Na",MG
26,1110998,1093,276.0,,70.0,,,,,,,"Sodium, Na",MG
27,1111014,1093,0.0,,75.0,,,,,,,"Sodium, Na",MG
28,1111535,1093,324.0,,70.0,,,,,,,"Sodium, Na",MG
29,1112983,1093,0.0,,75.0,,,,,,,"Sodium, Na",MG
30,1114695,1093,56.0,,70.0,,,,,,,"Sodium, Na",MG
31,1114774,1093,17.0,,70.0,,,,,,,"Sodium, Na",MG
32,1114802,1093,0.0,,75.0,,,,,,,"Sodium, Na",MG
33,1114895,1093,1300.0,,70.0,,,,,,,"Sodium, Na",MG
34,1114908,1093,33.0,,70.0,,,,,,,"Sodium, Na",MG
35,1115074,1093,0.0,,75.0,,,,,,,"Sodium, Na",MG
36,1116357,1093,19.0,,70.0,,,,,,,"Sodium, Na",MG
37,1117181,1093,125.0,,70.0,,,,,,,"Sodium, Na",MG
38,1117380,1093,182.0,,70.0,,,,,,,"Sodium, Na",MG
39,1118318,1093,417.0,,70.0,,,,,,,"Sodium, Na",MG
40,1118934,1093,117.0,,70.0,,,,,,,"Sodium, Na",MG
41,1119367,1093,387.0,,70.0,,,,,,,"Sodium, Na",MG
42,1120048,1093,750.0,,70.0,,,,,,,"Sodium, Na",MG
43,1120287,1093,321.0,,70.0,,,,,,,"Sodium, Na",MG
44,1120321,1093,300.0,,70.0,,,,,,,"Sodium, Na",MG
45,1120811,1093,162.0,,70.0,,,,,,,"Sodium, Na",MG
46,1121042,1093,679.0,,70.0,,,,,,,"Sodium, Na",MG
47,1121059,1093,10.0,,70.0,,,,,,,"Sodium, Na",MG
48,1121084,1093,667.0,,70.0,,,,,,,"Sodium, Na",MG
49,1121364,1093,0.0,,75.0,,,,,,,"Sodium, Na",MG
50,1121521,1093,319.0,,70.0,,,,,,,"Sodium, Na",MG
51,1121675,1093,0.0,,75.0,,,,,,,"Sodium, Na",MG
52,1121864,1093,605.0,,70.0,,,,,,,"Sodium, Na",MG
53,1121871,1093,300.0,,70.0,,,,,,,"Sodium, Na",MG
54,1122007,1093,561.0,,70.0,,,,,,,"Sodium, Na",MG
55,1122367,1093,1872.0,,70.0,,,,,,,"Sodium, Na",MG
56,1122429,1093,300.0,,70.0,,,,,,,"Sodium, Na",MG
57,1122461,1093,0.0,,75.0,,,,,,,"Sodium, Na",MG
58,1122534,1093,376.0,,70.0,,,,,,,"Sodium, Na",MG
59,1122709,1093,15.0,,70.0,,,,,,,"Sodium, Na",MG
60,1122735,1093,419.0,,70.0,,,,,,,"Sodium, Na",MG
61,1123747,1093,0.0,,75.0,,,,,,,"Sodium, Na",MG
62,1124384,1093,533.0,,70.0,,,,,,,"Sodium, Na",MG
63,1124637,1093,71.0,,70.0,,,,,,,"Sodium, Na",MG
64,1125088,1093,605.0,,70.0,,,,,,,"Sodium, Na",MG
65,1125123,1093,0.0,,75.0,,,,,,,"Sodium, Na",MG
