fdc_id,data_type,description,food_category_id,publication_date
1106109,branded_food,CALIFORNIA WHOLE PITTED DATES,,2020-11-13
1106320,branded_food,STRING CHEESE STICKS,,2020-11-13
1106377,branded_food,HIGHLY REFINED PEANUT OIL,,2020-11-13
1106493,branded_food,100% DURUM WHEAT SEMOLINA MACARONI PRODUCT,,2020-11-13
1106757,branded_food,"ANCIENT GRAIN OMEGA FLAX & FIBER BREAD, OMEGA FLAX & FIBER",,2020-11-13
1106766,branded_food,SMOKED FRESH TURKEY KIELBASA,,2020-11-13
1107688,branded_food,POTATO GNOCCHI,,2020-11-13
1108224,branded_food,SUGAR FREE PANCAKE & WAFFLE MIX,,2020-11-13
1108404,branded_food,PINEAPPLE CHUNKS IN HEAVY SYRUP,,2020-11-13
1108446,branded_food,"VEGAN CHAO SLICES, COCONUT HERB WITH BLACK PEPPER",,2020-11-13
1108715,branded_food,"THE MIX POPPED CORN, BUTTERY CARAMEL & REAL CHEDDAR CHEESE",,2020-11-13
1108795,branded_food,"VANILLA WHOLE MILK YOGURT, VANILLA",,2020-11-13
1109053,branded_food,"SANTA FE STYLE ROMAINE LETTUCE, WHITE MEAT CHICKEN, ROASTED CORN, FOUR CHEESE BLEND, AND TORTILLA CHIPS WITH SALSA RANCH DRESSING SALAD CAFE BOWL, SANTA FE STYLE",,2020-11-13
1109080,branded_food,"FROZEN CHOCOLATE CHIP COOKIE DAIRY DESSERT SANDWICH, CHOCOLATE",,2020-11-13
1109145,branded_food,"CHOCOLATE WITH CHOCOLATEY CRUNCHIES BETWEEN TWO LAYERS OF VANILLA LAYERED DESSERT LIGHT ICE CREAM CAKE, CHOCOLATE",,2020-11-13
1109313,branded_food,BISCOTTI,,2020-11-13
1109799,branded_food,"WATERMELON & LIME WITH CANDY SEEDS FROZEN CONFECTION POPS, WATERMELON",,2020-11-13
1109835,branded_food,"FRUIT MEDLEY FRUIT SNACKS, FRUIT MEDLEY",,2020-11-13
1109864,branded_food,"WHOLE GRAINS HEALTH NUT BREAD, WHOLE GRAINS HEALTH NUT",,2020-11-13
1110045,branded_food,"ITALIAN MEATLESS SMART SAUSAGES, ITALIAN",,2020-11-13
1110068,branded_food,"ROASTED GARLIC AND HERB TILAPIA FILLETS, ROASTED GARLIC AND HERB",,2020-11-13
1110417,branded_food,"GRAPE CRANBERRY JUICE DRINK FROM CONCENTRATE, GRAPE CRANBERRY",,2020-11-13
1110591,branded_food,"MEDIUM ORIGINAL BUFFALO WING SAUCE, MEDIUM ORIGINAL BUFFALO",,2020-11-13
1110677,branded_food,"STRAWBERRY BALSAMIC, STRAWBERRY",,2020-11-13
1110797,branded_food,"DRY ROASTED SALTED PEANUTS, DRY ROASTED SALTED",,2020-11-13
1110931,branded_food,DEVIL'S FOOD COOKIES,,2020-11-13
1110998,branded_food,"LOFTHOUSE, FROSTED SUGAR COOKIES",,2020-11-13
1111014,branded_food,"INTENSE DARK COCOA NIBS DARK CHOCOLATE WITH BITS OF CRUNCHY, SHELLED COCOA BEANS, INTENSE DARK",,2020-11-13
1111535,branded_food,"SPINACH & FETA INDIVIDUAL SIZE PIZZA, SPINACH & FETA",,2020-11-13
1112983,branded_food,"100% PURE ORANGE JUICE FROM CONCENTRATE, ORANGE",,2020-11-13
1114695,branded_food,"CLOVERLAND FARMS DAIRY, 2% REDUCED FAT MILK",,2020-11-13
1114774,branded_food,"APPLES, MANGOES, BANANAS, CARROTS, ORANGE, GREEK YOGURT & VANILLA PUREED SUPERFOOD SNACK, APPLES, MANGOES, BANANAS, CARROTS, ORANGE",,2020-11-13
1114802,branded_food,"SODA, LEMONGRASS, LEMONGRASS",,2020-11-13
1114895,branded_food,WORCESTERSHIRE SAUCE,,2020-11-13
1114908,branded_food,"ORANGE 100% JUICE, ORANGE",,2020-11-13
1115074,branded_food,"LEMON LIME FLAVORED SPARKLING WATER, LEMON LIME",,2020-11-13
1116357,branded_food,"ASSORTED SUGAR FREE POPS QUIESCENTLY FROZEN CONFECTIONS, CHERRY, ORANGE, BANANA, STRAWBERRY",,2020-11-13
1117181,branded_food,"GT'S, ENLIGHTENED SYNERGY , KOMBUCHA, STRAWBERRY SERENITY, STRAWBERRY SERENITY",,2020-11-13
1117380,branded_food,"CRANBERRY ALMOND CHEWY NUT BARS, CRANBERRY ALMOND",,2020-11-13
1118318,branded_food,"RAW ORGANIC MEAL POWDER, CHOCOLATE CACAO, CHOCOLATE CACAO",,2020-11-13
1118934,branded_food,"JAPANESE STYLE PANKO BREAD CRUMBS, JAPANESE STYLE PANKO",,2020-11-13
1119367,branded_food,SOFT CREAM CHEESE SPREAD,,2020-11-13
1120048,branded_food,"MAPLE FLAVORED UNCURED TURKEY BACON, MAPLE",,2020-11-13
1120287,branded_food,"LIME PLANTAIN CHIPS, LIME",,2020-11-13
1120321,branded_food,"PEANUT BUTTER & DARK CHOCOLATE PROTEIN CHEWY GRANOLA BARS, PEANUT BUTTER & DARK CHOCOLATE",,2020-11-13
